trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97}",20,0,-43.11816420048799,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9409}",25,0,-104.99111594625867,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.912673}",35,0,-125.14863606425074,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8852928099999999}",25,0,-169.09859927060788,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.8587340256999999}",25,0,-116.17634118147936,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.8329720049289998}",20,0,-46.27032296306545,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8079828447811298}",30,0,-108.26442969574795,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.7837433594376959}",25,0,-100.81852659233603,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.7602310586545651}",25,18,14.43587276473798,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.7374241268949281}",25,0,-107.20184196035797,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.7153014030880802}",25,5,-100.63996408813783,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.6938423609954377}",20,0,-19.586251380316817,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6730270901655746}",25,0,-146.3114194595548,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.6528362774606074}",25,0,-140.10689877042543,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.6332511891367891}",20,9,-24.12576555110521,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.6142536534626855}",25,0,21.388692794714917,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.5958260438588049}",30,0,-142.05256725591613,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.5779512625430407}",20,0,-66.95794537000313,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.5606127246667495}",30,0,-58.333146859372185,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.543794342926747}",30,21,2.3035475781305994,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.5274805126389446}",25,10,1.2220747674334955,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.5116560972597762}",25,0,-33.84203135863902,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.49630641434198286}",20,0,-58.02579978817454,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.48141722191172337}",20,14,-3.8956641592761283,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.4669747052543717}",30,18,-45.61915208607957,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.4529654640967405}",20,0,-49.4232231139591,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.4393765001738383}",35,21,6.48734404608387,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.42619520516862314}",25,0,-113.70535427902087,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.4134093490135644}",25,6,-93.82193216417609,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.4010070685431575}",20,6,-27.71717779328066,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.38897685648686275}",25,0,-28.926218762247707,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.37730755079225686}",30,0,-50.10232215762068,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.36598832426848915}",30,6,-17.37226508391733,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.35500867454043444}",30,7,-23.71239663339204,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.3443584143042214}",30,9,-77.14502734845365,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.33402766187509475}",25,17,7.008702478142071,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.3240068320188419}",25,2,-36.99761739884146,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.31428662705827665}",25,7,-15.22225957792577,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.3048580282465283}",25,0,-52.379987096332215,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.29571228739913247}",30,12,-12.632736092830626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.2868409187771585}",20,8,22.64884282970075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.2782356912138437}",20,2,24.000899191545102,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.2698886204774284}",20,9,11.782286246136174,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.26179196186310555}",25,3,-16.27179756521397,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.25393820300721237}",20,11,7.099446013000166,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.246320056916996}",25,16,0.13068493307745355,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.2389304552094861}",20,7,5.656636861265088,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.23176254155320153}",20,13,7.083426703773988,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.22480966530660546}",35,12,-37.995259911282304,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.2180653753474073}",25,11,15.676118130502145,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.21152341408698508}",20,6,13.204805988139254,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.2051777116643755}",20,9,8.180074582491162,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.19902238031444425}",30,16,4.219744198656245,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.19305170890501092}",30,0,-0.2616664500653054,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.18726015763786058}",20,11,16.737058869807626,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.18164235290872477}",30,12,23.17300167378918,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.176193082321463}",20,8,-45.81819640796098,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
