trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.12992902989583105}",30,9,21.072084164555232,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.12603115899895612}",25,9,28.191509160088085,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.12225022422898742}",20,12,8.93239593959823,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.1185827175021178}",30,0,27.632928447456585,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.11502523597705426}",25,8,21.054405515774082,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.11157447889774263}",20,3,18.623085282144917,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.10822724453081034}",25,0,27.025407446986748,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.10498042719488604}",25,0,29.52868493496679,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.10183101437903945}",25,13,18.87290425180874,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.09877608394766826}",25,15,19.683891754826583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.09581280142923822}",20,10,6.69206314722189,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.09293841738636106}",25,20,10.715652146534584,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.09015026486477024}",25,5,15.276822026900724,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.08744575691882712}",30,21,17.76116044636314,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.0848223842112623}",25,0,38.27402636862955,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.08227771268492444}",20,10,-26.128173670012128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.0798093813043767}",25,19,7.036305154650163,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,8,31.11183088426698,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,20,7.1595894032112115,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,12,17.323970985348897,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,16.959629751231322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,18.889205824735782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,7.321429629565445,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,14.860547292374104,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,13.288016456661712,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,24.71164655035245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,14,22.318029068391848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
